NEW_USERS,WEEK
348640.8,2021-01-04
261578.109767442,2021-01-11
129883.311627907,2021-01-18
138524.151627907,2021-01-25
350039.369302326,2021-02-01
266569.618604651,2021-02-08
157481.983255814,2021-02-15
153451.635348837,2021-02-22
78593.0902325581,2021-03-01
345744.965581395,2021-03-08
289383.293023256,2021-03-15
303167.60372093,2021-03-22
256084.520930233,2021-03-29
305307.770232558,2021-04-05
267299.564651163,2021-04-12
140747.497674419,2021-04-19
326582.773953488,2021-04-26
126567.946046512,2021-05-03
177549.27627907,2021-05-10
164803.88372093,2021-05-17
292332.139534884,2021-05-24
360536.11255814,2021-05-31
287406.40744186,2021-06-07
342354.223255814,2021-06-14
96999.7395348837,2021-06-21
354258.76744186,2021-06-28
247732.710697674,2021-07-05
250209.413023256,2021-07-12
172734.16744186,2021-07-19
203961.24,2021-07-26
162137.804651163,2021-08-02
342730.557209302,2021-08-09
285630.747906977,2021-08-16
140957.012093023,2021-08-23
178164.346046512,2021-08-30
373940.455813954,2021-09-06
364512.569302326,2021-09-13
348202.585116279,2021-09-20
38766.0725581395,2021-09-27
262936.233488372,2021-10-04
332282.56744186,2021-10-11
394071.898604651,2021-10-18
235763.341395349,2021-10-25
261905.16,2021-11-01
313039.741395349,2021-11-08
389559.209302326,2021-11-15
318220.833488372,2021-11-22
383316.31255814,2021-11-29
37464.0837209302,2021-12-06
350867.277209302,2021-12-13
59641.4511627907,2021-12-20
195652.00744186,2021-12-27
243759.281860465,2022-01-03
176959.96744186,2022-01-10
313969.674418605,2022-01-17
98075.1209302325,2022-01-24
340008.31255814,2022-01-31
371894.492093023,2022-02-07
158531.453023256,2022-02-14
354732.881860465,2022-02-21
268293.460465116,2022-02-28
374154.332093023,2022-03-07
410473.540465116,2022-03-14
89189.8911627907,2022-03-21
213767.815813953,2022-03-28
383287.479069767,2022-04-04
297242.88,2022-04-11
285891.968372093,2022-04-18
66865.8809302326,2022-04-25
216361.758139535,2022-05-02
227489.302325581,2022-05-09
219260.43627907,2022-05-16
175353.03627907,2022-05-23
246970.660465116,2022-05-30
406543.746976744,2022-06-06
3785.38604651163,2022-06-13
314060.785116279,2022-06-20
160819.928372093,2022-06-27
217778.891162791,2022-07-04
72210.7646511628,2022-07-11
258117.404651163,2022-07-18
316365.566511628,2022-07-25
222084.16744186,2022-08-01
86222.6539534884,2022-08-08
28387.1441860465,2022-08-15
288916.437209302,2022-08-22
312827.04,2022-08-29
