LAST_USE,ADDRESS
2020-10-07,123
2020-10-14,5906
2020-10-21,4481
2020-10-28,3325
2020-11-04,881
2020-11-11,6254
2020-11-18,7293
2020-11-25,1089
2020-12-02,326
2020-12-09,9341
2020-12-16,1809
2020-12-23,684
2020-12-30,2420
2021-01-06,3606
2021-01-13,2772
2021-01-20,471
2021-01-27,4578
2021-02-03,3420
2021-02-10,5476
2021-02-17,7089
2021-02-24,2146
2021-03-03,8485
2021-03-10,7643
2021-03-17,8432
2021-03-24,420
2021-03-31,9155
2021-04-07,7315
2021-04-14,9605
2021-04-21,2159
2021-04-28,1467
2021-05-05,4759
2021-05-12,5533
2021-05-19,2212
2021-05-26,9199
2021-06-02,6953
2021-06-09,9432
2021-06-16,233
2021-06-23,7381
2021-06-30,8578
2021-07-07,3004
2021-07-14,2760
2021-07-21,4157
2021-07-28,5558
2021-08-04,4636
2021-08-11,8625
2021-08-18,1651
2021-08-25,7019
2021-09-01,5326
2021-09-08,5143
2021-09-15,7360
2021-09-22,2939
2021-09-29,9382
2021-10-06,9570
2021-10-13,7904
2021-10-20,8790
2021-10-27,4966
2021-11-03,4310
2021-11-10,3885
2021-11-17,8896
2021-11-24,5879
2021-12-01,5920
2021-12-08,5238
2021-12-15,5108
2021-12-22,6500
2021-12-29,3191
2022-01-05,8645
2022-01-12,9834
2022-01-19,3281
2022-01-26,9704
2022-02-02,5337
2022-02-09,7895
2022-02-16,7265
2022-02-23,3677
2022-03-02,1796
2022-03-09,3769
2022-03-16,4866
2022-03-23,1076
2022-03-30,1128
2022-04-06,9829
2022-04-13,834
2022-04-20,7866
2022-04-27,5868
2022-05-04,9882
2022-05-11,3722
2022-05-18,7400
2022-05-25,1476
2022-06-01,4761
2022-06-08,4641
2022-06-15,9244
2022-06-22,5934
2022-06-29,8733
2022-07-06,7564
2022-07-13,8279
2022-07-20,2714
2022-07-27,1081
2022-08-03,6827
2022-08-10,4977
2022-08-17,8729
2022-08-24,2905
2022-08-31,361
