CREATION_DATE,Days since last use,Days since creation
2020-10-07,675,726
2020-10-14,634,774
2020-10-21,480,742
2020-10-28,617,790
2020-11-04,468,738
2020-11-11,401,775
2020-11-18,631,719
2020-11-25,425,707
2020-12-02,574,765
2020-12-09,559,725
2020-12-16,418,771
2020-12-23,468,702
2020-12-30,614,733
2021-01-06,452,774
2021-01-13,553,724
2021-01-20,440,727
2021-01-27,522,722
2021-02-03,483,711
2021-02-10,461,793
2021-02-17,601,774
2021-02-24,423,741
2021-03-03,450,741
2021-03-10,419,767
2021-03-17,454,793
2021-03-24,639,763
2021-03-31,571,745
2021-04-07,462,777
2021-04-14,406,764
2021-04-21,478,747
2021-04-28,665,776
2021-05-05,658,735
2021-05-12,633,731
2021-05-19,666,764
2021-05-26,667,787
2021-06-02,423,737
2021-06-09,671,786
2021-06-16,628,735
2021-06-23,605,718
2021-06-30,610,713
2021-07-07,563,752
2021-07-14,698,700
2021-07-21,690,734
2021-07-28,532,753
2021-08-04,529,797
2021-08-11,673,762
2021-08-18,615,716
2021-08-25,577,705
2021-09-01,401,754
2021-09-08,557,741
2021-09-15,442,753
2021-09-22,577,749
2021-09-29,559,754
2021-10-06,660,739
2021-10-13,463,715
2021-10-20,534,791
2021-10-27,595,714
2021-11-03,598,770
2021-11-10,612,790
2021-11-17,479,768
2021-11-24,507,722
2021-12-01,599,718
2021-12-08,631,758
2021-12-15,573,731
2021-12-22,655,725
2021-12-29,532,763
2022-01-05,668,715
2022-01-12,476,786
2022-01-19,607,785
2022-01-26,588,712
2022-02-02,558,770
2022-02-09,615,778
2022-02-16,647,710
2022-02-23,446,734
2022-03-02,690,732
2022-03-09,503,744
2022-03-16,692,738
2022-03-23,564,787
2022-03-30,660,737
2022-04-06,516,789
2022-04-13,646,725
2022-04-20,510,783
2022-04-27,614,793
2022-05-04,426,794
2022-05-11,618,767
2022-05-18,455,748
2022-05-25,613,749
2022-06-01,619,700
2022-06-08,419,749
2022-06-15,406,727
2022-06-22,594,760
2022-06-29,553,721
2022-07-06,687,718
2022-07-13,470,700
2022-07-20,564,793
2022-07-27,407,701
2022-08-03,535,732
2022-08-10,462,751
2022-08-17,510,795
2022-08-24,458,762
2022-08-31,640,794
